64
1.151685996811368988e-06 2.303371993622737976e-06 6.574945603701464192e-01 4.485353142416398375e-02 8.628391380414484302e+05
3.649806913622044230e-06 2.692869839998612508e-06 2.083258540061331487e+00 4.148126211342701430e-01 8.510796042851913953e+05
6.570353087290149008e-06 3.148222507337594508e-06 3.747721615090315872e+00 1.320357188423401329e+00 8.191225729938325239e+05
9.984744954605330087e-06 3.680561227292766802e-06 5.685912017035272825e+00 2.985330146914321858e+00 7.724658249790359987e+05
1.397647432597459682e-05 4.302897515445770050e-06 7.930472058951840708e+00 5.663577413430277652e+00 7.148884021359543549e+05
1.864314325903393613e-05 5.030440350672905192e-06 1.049838959369371594e+01 9.556085592828010178e+00 6.634018897506477078e+05
2.409884678339080784e-05 5.880966698040834828e-06 1.337172730481370131e+01 1.468014201098972649e+01 6.449356546346971299e+05
3.047695727607102815e-05 6.875254287319609181e-06 1.651048181218137856e+01 2.075868854204059133e+01 6.617086319152087672e+05
3.793337793346062705e-05 8.037587027459598785e-06 1.985492983815938928e+01 2.724255152170058381e+01 6.900748561423792271e+05
4.665034401570843938e-05 9.396345137036025876e-06 2.325035923367416402e+01 3.317005622387354435e+01 7.009394820980977966e+05
5.684086360430439270e-05 1.098469404015588755e-05 2.641844329265560987e+01 3.732176024525537628e+01 6.777602827078710543e+05
6.875390480036712741e-05 1.284138835196958186e-05 2.915821240112522261e+01 3.922645715197922556e+01 6.213012361137469998e+05
8.268045392575139893e-05 1.501170989879896118e-05 3.144083483290765457e+01 3.934503584478436267e+01 5.460647907079583965e+05
9.896058974202535702e-05 1.754856173374896855e-05 3.333152247237508448e+01 3.840431558370654841e+01 4.674548483471681247e+05
1.179917423908771556e-04 2.051374356395464207e-05 3.491215642381987294e+01 3.697346128836791479e+01 3.949301665697608842e+05
1.402383331487261299e-04 2.397943795174326594e-05 3.625645983758955992e+01 3.540063839782651911e+01 3.322428737292795558e+05
1.662430226936073563e-04 2.802994113801915974e-05 3.741976667011422109e+01 3.387435123417962757e+01 2.800500333948757616e+05
1.966398319652034883e-04 3.276367740517315843e-05 3.845014864043824332e+01 3.248237400108993000e+01 2.372964672606979730e+05
2.321694414620156582e-04 3.829554158845118145e-05 3.938769096267322567e+01 3.125486229798979565e+01 2.024018793341079436e+05
2.736970225931667500e-04 4.475962067385097498e-05 4.026812249551874601e+01 3.019038039660725659e+01 1.737121383083759283e+05
3.222330091231323198e-04 5.231235238608021891e-05 4.112057255773174802e+01 2.927866581968391912e+01 1.499200275630685210e+05
3.789572784244743639e-04 6.113618621660376088e-05 4.197290331387070239e+01 2.850024643416144698e+01 1.298519722113706812e+05
4.452472817149388264e-04 7.144382036432527254e-05 4.284783158389472391e+01 2.783823908386930412e+01 1.127023566854799137e+05
5.227107400731761510e-04 8.348309635214937663e-05 4.376877751382710358e+01 2.726775867930052755e+01 9.778342224217830517e+04
6.132236089036041671e-04 9.754264130870660132e-05 4.473772720055659136e+01 2.676765852405189960e+01 8.476730951394214935e+04
7.189741073316546771e-04 1.139583555473944187e-04 4.575162017128367609e+01 2.631888111060224134e+01 7.345018262097764818e+04
8.425137097827412914e-04 1.331208493547785931e-04 4.680814868031929166e+01 2.590079533743825735e+01 6.363004420256146841e+04
9.868161028052575313e-04 1.554839366902538867e-04 4.790559642273640151e+01 2.549206354867352786e+01 5.512321026791157783e+04
1.155345217744072018e-03 1.815742931873753040e-04 4.904372232095278150e+01 2.507033846880500505e+01 4.775225972660768457e+04
1.352133553931453378e-03 2.120023791873871990e-04 5.022411132300261727e+01 2.461220424545541618e+01 4.135031684908486204e+04
1.581872099740164270e-03 2.474747124300345855e-04 5.144918616706070225e+01 2.409267456250627149e+01 3.577693835317204503e+04
